"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  Emerging markets: America",69071.65700000001,86550.018,20240.933,12599.713,6442.93,16693.783,129376.336,117084.93,233003.701,130954.916,104523.997,261797.488,265646.221,228852.04,253568.025,667225.838,918804.617,980266.9250000001,1651299.257,2208120.326,1506446.259,1195587.857,1256670.547
"  Emerging markets: Asia",1514138.67,1333291.497,1425910.975,1125106.308,677140.871,860665.667,1048094.422,1623980.497,3233436.476,3907011.419,5011592.652,4789949.987,4718708.951,4702309.341,5165322.499,6907232.484,8310556.39,7506855.486,9386460.818,10336788.886,9439673.276000001,8106744.302,5844723.799
"  Emerging markets: Europe and Kazakhstan",85326.194,73493.588,40245.671,24727.767,68369.73,54236.283,61393.25,106473.01,66635.727,46572.082,48556.717,102744.111,101888.237,138752.867,163364.776,225381.72,213894.338,297935.3,462196.657,617705.316,816981.018,1257660.916,1575429.458
"Africa excluding South Africa",279.658,338.467,95.386,78.063,210.609,110.065,165.507,91.952,4666.595,233.741,252.978,1489.62,686.749,2726.813,9455.986000000001,3733.206,9279.833000000001,1834.567,3930.715,5366.373,7173.166,11279.158,9917.133
"Northern Africa excluding Sudan",0.62,"..","..","..",2.028,2.206,0.686,30.625,4528.584,86.71899999999999,14.882,172.177,260.764,18.113,1206.962,1708.82,1032.248,1216.654,973.949,1522.598,1508.472,1841.799,772.078
"Sub-Saharan Africa",607.7670000000001,684.174,435.798,410.347,526.8250000000001,218.276,1166.271,687.669,25732.984,27207.391,15136.842,15233.489,11679.594,7711.32,15805.713,13144.916,35828.98,129199.724,145427.156,30156.618,13445.857,14106.708,17014.089
"Sub-Saharan Africa excluding South Africa",279.038,338.467,95.386,78.063,208.581,107.859,164.821,61.327,138.011,147.022,238.096,1317.443,425.985,2708.7,8249.023999999999,2024.386,8247.584999999999,617.913,2956.766,3843.775,5664.694,9437.359,9145.055
"South America excluding Brazil","..","..",14.884,69.414,288.37,502.338,681.951,1845.487,3472.725,6700.503,2738.684,4736.685,10366.377,23385.795,28814.716,4746.514,655.024,1674.426,4085.301,3777.168,59265.205,5072.151,3224.648
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico","..",3.499,1.813,30.986,6.667,6.556,9.384,12.946,20.915,33.75,144.552,314.715,177.1,467.615,342.408,131.051,249.976,2876.989,10674.89,6416.167,2450.444,586.936,494.569
"South America and Central America",69071.65700000001,86553.51700000001,20255.817,12667.229,6491.536,16726.845,129396.703,117176.365,233030.497,130988.498,104682.656,262143.769,265824.334,229194.32,253901.211,667356.409,919049.141,982703.174,1654184.946,2210078.979,1508945.213,1196252.728,1257139.277
"Southern Asia excluding India",205.113,317.536,863.771,1173.978,7.94,148.718,1081.517,6.033,35.611,122.561,536.2960000000001,365.489,2025.188,2585.131,1135.335,249.714,287.65,835.251,1200.795,1096.244,1260.703,1927.112,1339.963
"Eastern, Southern and South-Eastern Asia",1510426.33,1332255.197,1422752.547,1124381.987,675470.534,860167.8860000001,1041891.552,1576730.365,3182982.894,3888839.127,4990386.889,4710632.57,4608022.001,4631568.465,5133532.045,6816661.21,8077851.753,7300329.881,8879240.544,9571817.395,8485929.59,7411156.958,5140341.083
"Eastern and South-Eastern Asia excluding China",1509887.206,1331559.817,1421509.685,1121978.312,674061.3540000001,857969.683,1038665.348,1571256.997,3164067.561,3874884.215,4976184.492,4704049.723,4592735.605,4605167.701,5109201.631,6778828.643,7973515.896,7212119.779,8747717.626,9462003.221000001,8406029.609999999,7334183.609,5056210.937
"ACP (African, Caribbean and Pacific Group of States)",1217.848,699.027,452.495,410.347,572.86,229.244,1178.276,779.3,25760.132,27247.966,15170.48,15280.291,11683.78,7843.187,15871.438,13149.973,36153.721,129865.18,153410.338,45861.932,13964.42,14589.413,17282.342
"ACP (African, Caribbean and Pacific Group of States): LDCs (Least developed countries)",0.724,291.985,48.829,49.449,1.916,2.942,147.552,18.175,20.086,134.593,94.214,1256.602,188.589,250.338,1921.593,1330.632,5155.722,283.025,1838.451,1038.229,1500.372,9358.451999999999,8949.222
"ACP (African, Caribbean and Pacific Group of States): LLDCs (Landlocked developing countries)",28.217,181.163,72.851,44.524,19.904,57.815,136.747,14.69,7.206,28.708,40.364,115.063,271.318,2567.155,1737.595,503.215,2371.498,253.525,2332.641,928.0650000000001,1198.741,6538.534,3729.515
"ACP (African, Caribbean and Pacific Group of States): Islands states",682.221,14.853,10.831,"..",15.926,10.018,10.742,23.864,40.502,23.636,33.231,67.81,5.739,162.106,65.37600000000001,69.282,3025.909,664.112,8000.796,15706.687,503.174,444.63,318.064
"ALBA-TCP (Bolivarian Alliance for the Peoples of Our America - Peoples' Trade Treaty)","..","..","..",48.381,2.048,15.779,0.197,8.867000000000001,448.804,617.47,36.154,594.867,701.2240000000001,40.033,55.673,19.499,76.51900000000001,103.221,51.927,83.848,360.913,112.03,87.87600000000001
"AMU (Arab Maghreb Union)","..","..","..","..","..",1.738,0.006,30.625,117.416,85.40600000000001,12.805,160.476,253.819,4.115,1195.941,1697.706,1021.354,1174.618,851.778,1440.866,1417.847,1609.376,609.781
"APEC (Asia-Pacific Economic Cooperation)",2716548.444,2485471.611,2861749.167,2093158.953,1729442.596,2494971.509,2716091.425,4558386.973,7941386.861,8953527.6,10218881.118,11426517.888,13983559.708,15804279.572,17145147.323,26938126.409,31055887.88,28762296.868,33480646.872,38019232.095,30711310.911,31919756.471,32750845.115
"APTA (Asia-Pacific Trade Agreement)",214602.877,160012.117,65974.826,97708.09,105890.92,166436.198,206535.439,365245.754,1370305.795,2111233.944,3231811.522,3151904.126,3006238.161,2814535.554,3408760.709,5195648.705,6579158.241,5737838.638,7046250.13,7497439.558,6424462.211,4916564.691,2898956.025
"ASEAN (Association of Southeast Asian Nations)",31431.737,58079.076,81470.963,45484.532,41017.783,56961.033,61026.468,91691.736,111599.401,237221.475,279543.077,325151.256,359405.461,353983.228,349516.694,567545.9300000001,676178.1750000001,739582.997,839309.031,995446.9399999999,1101912.083,1541366.538,1295116.799
