"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  Net food-exporting developing economies",615576.476,579080.343,826567.357,777494.182,847109.839,1324176.511,1544388.17,2045622.031,2937037.032,3696334.514,4232263.749,5405595.699,6218493.076,5751977.048,7566390.16,9483542.619000001,12004403.872,11590054.144,12375365.948,12237661.755,10811500.796,10763891.485,13342061.741
"  Net food-exporting transition economies",256723.075,328964.119,396375.463,411459.689,463574.039,403807.804,357489.724,338153.8,428228.084,463077.65,432733.587,306620.095,377644.16,492897.512,603820.314,268376.716,448930.509,284538.548,347122.389,560329.2290000001,731976.358,354947.815,312415.184
"  Net food-exporting developed economies",2889062.067,2457044.725,2719751.006,2677008.61,2869868.944,2562753.785,2860169.364,3509339.579,4722296.015,6522758.258,7815868.587,9127382.718,12182826.128,13234713.356,12649275.626,15208811.527,17321537.786,15818004.48,17287516.617,17722617.457,16094991.637,16021041.096,17974467.946
"Major net food-exporting economies",3670152.987,3289447.751,3816085.685,3725433.533,4028057.41,4164878.053,4610549.42,5718401.413,7902167.636,10487103.833,12137354.827,14542260.991,18430832.273,18917982.451,20653311.09,24599012.944,29326355.852,27305619.272,29576992.415,29842636.249,26825514.676,26720789.126,31236329.958
"BASIC",114660.094,102753.833,165176.774,136858.895,144180.009,229382.89,265778.573,360574.864,767726.372,956783.968,1044191.732,1332730.089,1796937.463,1694626.663,3140863.633,3312463.438,4113924.293,3332406.227,3687860.812,3154576.05,3220270.455,2940120.093,3136119.36
"BRICS",1471014.094,1640933.688,1399361.146,867896.972,1148481.294,1300178.793,1205625.695,1346355.691,1721547.844,2279776.276,2672325.509,3374917.684,3790066.605,4042087.961,4831359.935,5018197.582,5977592.648,5441158.509,5284611.467,4664753.897,4418685.56,3972902.955,4273701.694
"Industrialized economies (UNIDO)",21479377.137,21042719.811,22342478.67,20262817.142,21582242.462,25430672.556,25011010.715,28976773.353,36335182.141,48182896.032,56442802.502,64707049.051,74690494.405,78879630.499,74605661.22499999,93840047.654,106117135.432,100471564.934,100889250.909,98776097.902,88137161.347,85881470.075,94701484.23199999
"EIEs (Emerging Industrial Economies) (UNIDO)",1160011.083,1191898.554,1321716.698,1183879.157,1388477.782,2196396.444,2946621.384,3061819.673,4254022.149,5450205.801,7072876.862,8007044.363,9846127.563999999,9747322.752,11321194.539,15431562.402,21110617.965,20462463.258,18154908.491,17945844.583,15795682.308,15516272.231,19306930.168
"Emerging markets",15897058.622,16044738.186,16896890.243,14798546.591,15593940.342,19627472.187,19332751.83,21649582.807,27500797.796,36181925.35,42789218.114,48001110.343,54637358.104,55618825.837,55035832.407,70978593.259,84269967.046,81858824.765,78969624.37100001,75777519.78900001,66795787.423,64249347.069,71514854.994
"  Emerging markets: Africa",55503.739,58102.978,60787.291,55990.803,52969.791,65371.058,62967.727,34803.655,97087.67999999999,145135.808,137279.325,207794.118,680352.655,648914.516,1063324.506,1160309.157,1402213.291,934371.4300000001,1286022.21,1330784.09,1482405.824,1357018.649,1045270.114
