"PRODUCT -   High technology manufactures: other (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Emerging markets",1677859.231,1992073.78,2219402.34,2438351.741,2645488.248,3489307.69,4058691.754,4053619.302,8135937.584,13408548.061,17402091.208,20336269.121,27742180.296,33560360.257,31526960.883,44358918.487,46456852.501,49048320.94,46247430.351,43335847.547,39716362.701,35520732.513,37856736.965
"  Emerging markets: Africa",1803.81,1880.044,2191.195,1600.518,1708.27,2764.62,865.404,1735.772,2269.176,3534.994,3463.338,25184.065,7839.438,29409.379,6968.846,9927.058999999999,9826.996999999999,8098.204,7522.039,11460.413,8636.733,10130.041,25146.422
"  Emerging markets: America",1206.216,3766.615,6903.02,2635.345,1265.426,43120.573,107589.733,14594.927,27908.637,48208.907,32120.075,38376.071,102252.625,293703.758,399794.578,455563.471,722197.21,1020907.404,487418.936,333158.071,325072.069,492193.735,567300.5379999999
"  Emerging markets: Asia",1601785.267,1908921.115,2155311.669,2274471.697,2495093.548,3347611.023,3779158.85,3769129.991,7792561.376,13109029.659,17139544.994,19997154.937,27392795.152,32862137.327,30219438.717,42609138.33,44056722.868,46213270.371,43641179.074,40846515.353,37189254.394,33422376.997,35283748.811
"  Emerging markets: Europe and Kazakhstan",73063.938,77506.00599999999,54996.456,159644.181,147421.004,95811.474,171077.767,268158.612,313198.395,247774.501,226962.801,275554.048,239293.081,375109.793,900758.742,1284289.627,1668105.426,1806044.961,2111310.302,2144713.71,2193399.505,1596031.74,1980541.194
"Africa excluding South Africa",20.603,193.131,85.38200000000001,1118.027,3225.701,548.51,618.8150000000001,341.694,639.702,2019.068,5111.049,14049.589,45226.365,52279.308,25833.883,140077.32,77685.22500000001,65866.00900000001,70360.28599999999,91183.991,59502.314,64701.769,73814.402
"Northern Africa excluding Sudan","..","..",17,28.725,23.865,6.076,518.591,249.036,459.672,605.615,128.083,440.761,938.884,2260.057,1910.147,2851.102,2600.591,3482.108,7983.077,12478.617,6567.263,11560.041,8541.342000000001
"Sub-Saharan Africa",1824.413,2073.175,2242.577,2667.652,4886.241,3300.978,959.449,1669.643,2060.34,4909.845,8347.502,38392.977,50878.285,77265.66499999999,29010.556,145284.735,83026.607,68291.15700000001,68306.878,88043.033,61240.319,62697.423,90055.29300000001
"Sub-Saharan Africa excluding South Africa",20.603,193.131,68.38200000000001,1089.302,3201.836,542.434,100.224,92.658,180.03,1413.453,4982.966,13608.828,44287.481,50019.251,23923.736,137226.218,75084.63400000001,62383.901,62377.209,78705.374,52935.051,53141.728,65273.06
"South America excluding Brazil",13.884,617.5650000000001,485.95,154.522,178.811,360.882,2824.368,1661.863,2896.214,1941.82,3342.548,5066.186,8197.004999999999,10913.961,10031.487,11079.867,13655.21,15830.617,30189.178,30381.099,26742.792,23298.321,34328.26
