"PRODUCT -   Medium technology manufactures: automotive (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"  Net food-importing transition economies",2523.885,2215.29,4035.754,4576.468,3787.116,14045.712,21035.838,36861.271,58993.733,120818.422,309039.769,753646.716,2206363.551,2300552.798,796123.733,1492729.702,2809111.114,3702930.068,3453130.482,3011082.934,1642906.759,1625627.76,2134678.829
"  Net food-importing developed economies",225477.373,289976.795,329603.511,353954.449,491208.17,749060.33,873428.624,1123444.588,1551848.304,2044564.172,2700574.89,3418581.651,4501595.6,5843483.342,4493706.676,5654100.948,6722170.373,7045455.578,7380574.95,7850809.472,7572454.538,8053142.728,9028697.892000001
"Major net food-importing economies",848576.473,912827.25,1069163.573,978343.798,1209464.393,1811878.371,1846671.688,2238296.987,3039442.956,3847892.712,5635240.987,7904662.993,12118902.759,15668991.094,11229789.34,14762529.904,18885395.865,21725062.566,22569263.055,24482200.073,22696020.49,20702975.961,23886551.58
"Net food-exporting economies",667733.326,716617.831,908729.378,1017046.625,1418355.759,2404621.069,2394753.523,2802342.689,3600945.647,5264836.223,7005512.415,9121673.403999999,12093221.158,15090006.664,11371432.299,16259647.989,20797939.751,22689353.359,24665191.197,26015065.986,27989060.315,28180897.773,32469054.444
"  Net food-exporting developing economies",162625.264,169677.041,186294.783,124924.296,209593.656,877906.083,757474.272,529443.597,610354.7070000001,969917.561,1620397.472,2424899.774,3425034.378,5197221.208,3664165.992,5844656.553,8799724.552999999,9289013.816,10337590.618,10115951.202,10508393.636,9877718.868000001,11687543.223
"  Net food-exporting transition economies",213.145,127.429,263.586,544.163,868.06,587.639,1325.899,2469.374,5635.93,21916.011,59447.145,120563.839,381174.945,624909.596,84888.93399999999,124991.601,287642.018,370690.602,392897.678,250474.013,172807.95,201056.706,272813.3
"  Net food-exporting developed economies",504894.917,546813.361,722171.009,891578.166,1207894.043,1526127.347,1635953.352,2270429.718,2984955.01,4273002.651,5325667.798,6576209.791,8287011.835,9267875.859999999,7622377.373,10289999.835,11710573.18,13029648.941,13934702.901,15648640.771,17307858.729,18102122.199,20508697.921
"Major net food-exporting economies",639281.321,690791.945,880567.697,994211.787,1395291.909,2375947.986,2367257.283,2770755.314,3552617.31,5183606.192,6864842.655,8890137.015000001,11689497.194,14378561.546,10895850.822,15576701.578,19992024.853,21616928.813,23543543.115,24836700.928,26706606.724,26916823.737,31109575.123
"BASIC",36028.319,36522.062,37411.05,24601.882,25546.245,31059.079,38404.149,47627.755,70345.732,134825.336,302057.875,525607.215,978481.934,1423956.386,999543.326,1732437.236,2842125.618,2343252.684,2420288.514,2572063.06,2198608.495,1952735.763,2531287.623
"BRICS",37575.83,37728.304,39153.958,27642.472,27184.045,34121.117,45738.6,63354.54,108863.17,198579.172,500114.433,1049175.873,2576908.035,3207172.736,1366106.935,2671626.038,4918775.929,4997069.517,4794901.323,4649419.648,3231693.171,3112925.424,4118361.522
"Industrialized economies (UNIDO)",1241885.095,1359270.633,1663687.147,1700901.572,2207503.13,2915484.182,3018782.626,3952467.118,5148129.856,7098266.444,9175837.617000001,11870087.025,16209915.964,19231991.961,14568420.552,19525925.069,23857352.095,26279894.309,27731980.771,30228443.736,30668445.387,31423954.484,35588378.899
"EIEs (Emerging Industrial Economies) (UNIDO)",112481.98,134900.818,173406.448,134731.1,188551.289,500434.342,440380.29,477278.48,639068.015,1133479.053,1928528.306,3062639.108,4989732.75,6551780.636,3815447.578,6110082.861,9327771.23,10539777.948,11391953.724,11154438.758,10737007.335,9940012.981000001,12260319.247
"Emerging markets",677083.393,700807.1139999999,846213.711,669157.643,787698.3050000001,1263851.565,1141959.197,1273977.86,1667925.161,2367156.667,3672957.675,5702395.946000001,10110896.298,12913080.429,7777696.648,12010026.008,17223148.017,19745975.102,21031610.726,21193247.659,19731175.968,17671965.322,21434036.24
"  Emerging markets: Africa",41059.246,33583.686,41972.724,56182.717,56819.911,69430.71000000001,115705.696,116127.229,244800.895,234181.374,452827.739,597101.324,1544625.049,1705913.833,957786.723,1650739.897,1550905.274,1972621.714,1941992.973,2036441.986,1902602.882,1080787.013,1316377.227
"  Emerging markets: America",55201.416,46868.979,70386.88800000001,79169.51700000001,90871.74800000001,132216.189,184145.686,187829.335,239360.656,436485.903,729559.16,1302226.432,2087955.332,2925337.24,1936022.81,3286523.379,5348318.144,5800352.881,6325029.215,6034611.937,5728920.837,5000472.061,6783134.119
"  Emerging markets: Asia",567366.0379999999,601788.921,709174.235,500660.145,597818.388,1000197.446,768926.878,861509.004,999132.945,1382585.094,1979130.008,2771704.309,3607044.726,5066542.448,3886334.458,5288564.597,7085982.752,7934860.402,8911973.919,9758866.132999999,9960657.487,9238847.768999999,10250652.905
"  Emerging markets: Europe and Kazakhstan",13456.693,18565.528,24679.864,33145.264,42188.258,62007.22,73180.93700000001,108512.292,184630.665,313904.296,511440.768,1031363.881,2871271.191,3215286.908,997552.657,1784198.135,3237941.847,4038140.105,3852614.619,3363327.603,2138994.762,2351858.479,3083871.989
"Africa excluding South Africa",81770.45299999999,68088.223,89029.54700000001,106436.945,99762.17200000001,123932.849,189504.921,222085.221,447966.342,557904.107,1007595.078,1284588.289,2370771.006,3745716.513,3164138.034,3706145.321,3966843.275,5260893.458,5549234.596,5906981.394,5269164.632,3883948.369,4063581.58
"Northern Africa excluding Sudan",11685.786,11392.79,13673.861,20634.853,19810.241,21118.807,36613.916,60234.68,96509.565,144736.358,286179.787,424186.84,722890.16,1350940.465,1316928.844,1287651.373,1364251.577,1886998.883,1874962.157,1805904.486,1526176.053,1101671.587,920922.558
"Sub-Saharan Africa",85904.067,72466.992,92462.103,100794.676,94275.154,116359.635,165576.143,177792.726,379033.343,469704.209,823621.9399999999,1011270.105,2044986.102,2727192.738,1985280.836,2722940.429,2959745.29,3793737.994,4027133.939,4428868.953,4019209.687,3014740.864,3451726.848
"Sub-Saharan Africa excluding South Africa",70084.667,56695.433,75355.686,85802.092,79951.931,102814.042,152891.005,161850.541,351456.777,413167.749,721415.291,860401.449,1647880.846,2394776.048,1847209.19,2418493.948,2602591.698,3373894.575,3674272.439,4101076.908,3742988.579,2782276.782,3142659.022
"South America excluding Brazil",36810.966,26983.908,45155.514,63042.638,65859.315,97672.63800000001,115290.93,85051.974,104764.443,201514.749,373484.79,777593.419,1371082.316,1845688.486,1166821.067,2071117.348,3277171.22,4064702.747,4227923.917,3526550.226,3187299.518,2723469.399,3466753.895
"Central America and Greater Caribbean Islands excluding Mexico and Puerto Rico",19435.793,11404.769,14428.236,17093.876,18629.313,22162.941,33380.583,38589.238,44986.463,71130.355,214356.049,326205.236,397934.131,529578.682,287834.668,384619.385,483034.673,568485.395,569525.232,629683.113,886302.165,916728.492,885245.801
"South America and Central America",61706.629,54528.859,77446.954,91236.66099999999,99900.083,151029.425,213049.519,215696.506,277992.823,512880.023,896393.401,1530299.993,2385220.235,3336004.3,2162297.503,3681070.751,5913880.332,6468279.013,7010943.955,6785115.049,6581583.804,5907175.416,7798248.172
"Southern Asia excluding India",46234.282,49030.069,48246.799,60503.16,44405.595,59381.307,83700.935,145907.357,267497.219,248178.271,328369.356,561721.518,471436.271,629099.98,572443.412,1017544.125,1509862.177,1027279.539,1199590.898,1605236.758,1498164.544,1651598.457,1881043.259
"Eastern, Southern and South-Eastern Asia",618180.64,653468.921,744786.203,534468.699,654642.73,1442722.649,1209235.128,1123238.167,1309734.904,1509592.232,2007047.335,2723600.64,3598786.054,4801129.176,4074189.651,5871988.686,8078472.268,8203948.229,9287230.257999999,10416684.745,11086647.78,10942282.207,12028851.229
"Eastern and South-Eastern Asia excluding China",570756.542,603296.197,695858.518,471815.889,608509.657,1375999.989,1113141.598,963738.074,1019385.094,1228498.348,1566232.082,1919809.084,2768899.595,3594908.006,3009326.882,4059062.872,5478366.726,6110886.989,6977283.222,7506484.311,8362973.062,8123766.21,8754203.821000001
"ACP (African, Caribbean and Pacific Group of States)",102479.696,79910.29399999999,102975.412,110380.838,108155.133,132356.801,187840.723,201493.067,404374.969,503669.192,935352.486,1196033.489,2265706.673,3060075.586,2181440.085,2939407.357,3202327.371,4091759.719,4350417.46,4767571.065,4502083.19,3492278.515,3882611.128
"ACP (African, Caribbean and Pacific Group of States): LDCs (Least developed countries)",32395.862,24538.67,37700.083,36575.595,27724.892,40412.397,44699.932,53228.736,108624.575,185772.775,318886.823,391517.18,546475.535,977133.566,999888.018,1045342.247,1257407.119,1639743.692,1813429.953,2088105.855,1866289.288,1671170.769,1761813.691
