"PRODUCT -   Medium technology manufactures: process (Lall classification)"
"PARTNER -           China"

YEAR,"1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"ECONOMY",
"Individual economies","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_","_"
"Selected exporters of petroleum",230754.29,231517.926,524255.288,367759.008,415805.607,721452.573,678994.289,847639.297,976788.314,1440380.47,2531436.474,3590248.926,5699666.729,9199287.49,7794869.3,8544537.304,11077382.095,12171752.796,13012568.737,15065714.138,12501691.938,11328168.603,13302321.227
"Selected exporters of manufactured goods",5823418.992,4943999.288,5460062.193,3915757.156,4179234.918,6089279.098,5087891.705,5764244.212,7670182.375,12949246.468,16366476.803,20733511.404,27466386.837,30566936.43,21362021.529,31149262.515,40805607.026,41014874.813,41521685.536,48336789.07,49524547.034,44238366.2,50727902.541
"Selected exporters of manufactured goods and primary commodities",3424817.534,2732044.811,3215675.543,2169684.97,2270100.143,3756693.243,2990928.964,3447800.596,4975659.84,9333199.365,11754882.139,14679258.351,19960423.813,22810082.775,15572481.303,22465702.968,29235004.075,29602615.022,31439008.057,37099172.76,37838081.233,33500843.531,39705378.826
"Selected exporters of agricultural products",73073.49400000001,84443.731,108732.434,139827.021,137783.714,178755.361,265493.296,192770.845,240116.548,405939.332,655929.907,791936.486,1282946.72,1879711.671,1326371.281,1840937.147,2577933.008,2668077.367,3423526.945,4580399.86,4661686.738,4055110.658,4694504.995
"Selected exporters of minerals and mining products",55253.216,50562.114,67224.36199999999,80307.179,67424.976,83039.79399999999,102655.71,112901.475,191957.94,271278.103,383594.28,582311.897,934385.203,1423052.592,980202.996,1425404.796,2042395.366,2299416.952,2362974.376,2615543.136,2739260.526,2540354.255,2699934.26
"Net food-importing economies",7572291.038,6403678.246,7361772.987,6018332.651,6053721.845,8940439.729,7862879.194,8831774.138,11565524.761,17574585.329,22313994.604,27577800.213,36632929.41,46285263.294,34157914.379,43254087.252,56616738.769,56544965.523,57876635.585,65227366.473,60457845.566,55239151.69,64622181.694
"  Net food-importing developing economies",5507400.08,4828629.295,5606624.904,4389179.986,4366918.32,6492912.14,5626368.96,6273572.661,7983845.327,12482169.065,15422224.175,19008581.773,24395977.339,29665384.766,22996115.745,29411253.456,37229098.352,37559807.758,39647055.091,46916890.782,44429575.679,39231809.295,46020325.014
"  Net food-importing transition economies",59704.709,58875.757,99900.137,109395.332,92105.837,117100.983,131118.295,174793.042,286755.212,486608.11,859557.277,1315493.767,2286975.445,4120429.044,3278375.498,3172387.464,4281403.033,5442808.012,5485041.721,4753558.618,3537478.349,3476599.75,4389539.33
"  Net food-importing developed economies",2005186.249,1516173.194,1655247.946,1519757.333,1594697.688,2330426.606,2105391.939,2383408.435,3294924.222,4605808.154,6032213.152,7253724.673,9949976.626,12499449.484,7883423.136,10670446.332,15106237.384,13542349.753,12744538.773,13556917.073,12490791.538,12530742.645,14212317.35
"Major net food-importing economies",7283874.348,6110731.484,6981526.699,5614684.696000001,5674573.776,8468272.414999999,7347417.332,8188870.969,10690504.233,16258855.594,20474808.9,25281094.855,33258607.3,41121115.767,29504289.76,38766117.409,50516427.402,49161081.831,50673405.641,57182545.769,52895234.371,48345113.851,56156441.896
